Minimal Requred,Component name,Unit Price,pcb qty,Order qty,PART / LCSC,Distributor,Link / Notes,Total Price
TRUE,Raspberry Pi Pico,€3.5900,1,1,RP2040 Pico,AliExpress,https://nl.aliexpress.com/item/1005009890247801.html?spm=a2g0o.cart.0.0.3bec61d7IeGl9Y&mp=1&pdp_npi=6%40dis%21EUR%21EUR%207.18%21EUR%203.59%21%21EUR%203.59%21%21%21%402103864c17732347784198025e2e18%2112000050491755796%21ct%21NL%214872523161%21%211%210%21&gatewayAdapt=glo2nld,€3.59
TRUE,Micro SD card socket,€0.1590,1,10,TF push-push 9pin,AliExpress,https://nl.aliexpress.com/item/1005001331379046.html?spm=a2g0o.cart.0.0.277261d7SrENPP&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.58%21EUR%201.54%21%21EUR%201.54%21%21%21%40211b61bb17728300126134417e98b5%2112000015723175697%21ct%21NL%214872523161%21%211%210%21&gatewayAdapt=glo2nld,€1.59
FALSE,JST-SM 3-PIN Header Female,€0.0164,20,50,PSB Connector,AliExpress,https://nl.aliexpress.com/item/1005009483624961.html?spm=a2g0o.cart.0.0.277261d7SrENPP&mp=1&pdp_npi=6%40dis%21EUR%21EUR%200.90%21EUR%200.88%21%21EUR%200.88%21%21%21%40211b61bb17728300126134417e98b5%2112000049242880347%21ct%21NL%214872523161%21%212%210%21&gatewayAdapt=glo2nld,€0.82
FALSE,JST-SM 3-PIN Header Male,€0.0299,20,100,PSB Connector,AliExpress,https://nl.aliexpress.com/item/1005005362711029.html?spm=a2g0o.cart.0.0.277261d7SrENPP&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.99%21EUR%202.99%21%21EUR%202.99%21%21%21%40211b61bb17728300126134417e98b5%2112000032745909182%21ct%21NL%214872523161%21%211%210%21&gatewayAdapt=glo2nld,€2.99
FALSE,JST-XH LED connector cabel,€0.1750,20,40,PSB Connector,AliExpress,https://nl.aliexpress.com/item/1005009696690444.html?aff_fcid=ab017f0a917b4ad7b0b7a8264d1facdc-1772898515790-01922-_c3AOCbrh&aff_fsk=_c3AOCbrh&aff_platform=api-new-link-generate&sk=_c3AOCbrh&aff_trace_key=ab017f0a917b4ad7b0b7a8264d1facdc-1772898515790-01922-_c3AOCbrh&terminal_id=904137c35a1845989e58c82fc9e763b3&afSmartRedirect=y,€7.00
TRUE,SN74HCT245N,€0.7202,1,5,C133640,LCSC,https://www.lcsc.com/product-detail/C133640.html,€3.60
TRUE,220Ω resistor 0805,€0.0021,8,300,C17557,LCSC,https://www.lcsc.com/product-detail/C17557.html,€0.63
FALSE,10kΩ resistor 0805,€0.0020,2,200,C84376,LCSC,https://www.lcsc.com/product-detail/C84376.html,€0.40
FALSE,100nF Capacitor 0805,€0.0045,2,200,C49678,LCSC,https://www.lcsc.com/product-detail/C49678.html,€0.90
FALSE,4.7uF Capacitor 1206,€0.0339,1,50,C51205,LCSC,https://www.lcsc.com/product-detail/C51205.html,€1.70
